"(S,B)",A,K,Q,J,T,9,8,7,6,5,4,3,2
A,"(400,400)","(400,400)","(16,56)","(16,56)","(16,56)","(16,16)","(16,16)","(16,5)","(16,5)","(16,5)","(16,112)","(16,5)","(16,5)"
K,"(400,400)","(400,400)","(16,56)","(16,56)","(16,56)","(16,5)","(16,5)","(16,5)","(16,5)","(16,5)","(16,5)","(16,5)","(16,5)"
Q,"(16,112)","(16,5)","(400,400)","(16,56)","(16,16)","(16,5)","(16,5)","(16,5)","(16,112)","(16,112)","(16,112)","(18,112)","(16,112)"
J,"(16,16)","(16,16)","(16,16)","(16,56)","(16,56)","(16,16)","(16,16)","(16,16)","(16,5)","(16,5)","(16,5)","(16,5)","(16,5)"
T,"(16,5)","(16,5)","(16,5)","(16,5)","(16,56)","(16,16)","(16,16)","(16,16)","(16,5)","(16,5)","(5,5)","(5,5)","(5,5)"
9,"(16,5)","(16,5)","(16,5)","(16,5)","(16,5)","(16,56)","(16,16)","(16,16)","(16,16)","(16,5)","(5,5)","(5,5)","(5,5)"
8,"(16,5)","(5,5)","(5,5)","(5,5)","(5,5)","(16,5)","(16,56)","(16,56)","(16,16)","(16,16)","(16,5)","(5,5)","(5,5)"
7,"(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(16,5)","(16,5)","(16,56)","(16,16)","(16,5)","(5,5)","(5,5)"
6,"(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(5,5)","(16,56)","(16,56)","(16,16)","(16,5)","(5,5)"
5,"(16,5)","(5,5)","(5,5)","(5,5)","(5,0)","(5,0)","(5,5)","(5,5)","(5,5)","(16,5)","(16,5)","(16,5)","(16,5)"
4,"(16,5)","(5,5)","(5,5)","(5,5)","(5,0)","(0,0)","(0,0)","(5,5)","(5,5)","(5,5)","(16,5)","(16,5)","(16,5)"
3,"(5,5)","(5,5)","(5,5)","(5,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(5,5)","(5,5 )","(16,5)","(16,5)"
2,"(5,5)","(5,5)","(5,5)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(16,5)"